date,africa,asia,europe,north_america,south_america
09/03/2020,59,7319,1,21,81
16/03/2020,178,15702,7,187,687
23/03/2020,617,26806,73,1172,4987
30/03/2020,1382,57485,548,3411,12288
06/04/2020,3370,101119,1319,6851,27518
13/04/2020,5460,149352,3102,12346,54961
20/04/2020,8993,197648,5710,19036,87117
27/04/2020,13002,237277,9009,28732,146742
04/05/2020,18818,275008,12331,41295,227356
11/05/2020,27209,319754,15648,56703,325665
18/05/2020,36606,366593,18616,75599,469726
25/05/2020,50027,421750,21245,99386,669358
01/06/2020,69085,489538,24562,128271,926678
08/06/2020,88910,582187,28077,162079,1204843
15/06/2020,112148,686744,32536,201265,1492586
22/06/2020,136308,794870,38056,246855,1809654
29/06/2020,157695,896527,44538,294586,2180548
06/07/2020,176750,1001175,50053,350957,2542261
13/07/2020,198339,1097906,55285,412010,2921974
20/07/2020,220728,1184933,60767,476502,3297229
27/07/2020,243748,1270411,67096,544416,3779001
03/08/2020,265213,1365159,74781,612481,4276634
10/08/2020,284613,1469435,83812,673516,4789440
17/08/2020,307304,1578226,95007,732582,5308881
24/08/2020,332311,1690158,109234,786470,5794249
31/08/2020,354627,1795778,124132,838527,6297649
07/09/2020,375975,1895635,141424,894418,6734552
14/09/2020,394236,2007495,160679,947031,7139162
21/09/2020,412547,2123233,182900,994344,7548714
28/09/2020,428954,2241352,206579,1043500,7938717
05/10/2020,446015,2365023,236329,1115476,8306657
12/10/2020,466215,2490658,272671,1163911,8686169
19/10/2020,487234,2622416,312287,1213123,9022978
26/10/2020,510189,2768360,359348,1268941,9389704
02/11/2020,533372,2944265,414567,1321679,9721929
09/11/2020,557959,3140165,483153,1376292,10008818
16/11/2020,582491,3361703,561581,1431142,10372543
23/11/2020,608500,3622088,653442,1491839,10726078
30/11/2020,634396,4030596,752343,1578938,11124964
07/12/2020,661983,4462885,843898,1673212,11554104
14/12/2020,692285,5635206,925321,1775419,11991531
21/12/2020,722719,5958023,998678,1877673,12501821
28/12/2020,754495,6201417,1061074,1973375,12915804
30/12/2020,764234,6268595,1076880,2011503,13091797
